"","NAME","CITY","STATE","ZIP","LAT","LON","HIGHDEG","TYPE","RELIGIOUS","ONLINE","AVGFACSAL","TUIREVSTU","INCOSTSTU","PRGMOFR","OPENADMP","ADM_RATE","TUITIONFEE_IN","TUITIONFEE_OUT","COST","NPT4_PUB","NPT4_PRIV","UGDS","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","INC_PCT_LO","INC_PCT_M1","INC_PCT_M2","INC_PCT_H1","INC_PCT_H2","FTFTPCTFLOAN","GRAD_DEBT_MDN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_P6","MN_EARN_WNE_P7","MN_EARN_WNE_P8","MN_EARN_WNE_P9","MN_EARN_WNE_P10","MN_EARN_WNE_INC1_P6","MN_EARN_WNE_INC2_P6","MN_EARN_WNE_INC3_P6","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","CDR3","RPY_1YR_RT","RPY_3YR_RT","RPY_5YR_RT","RPY_7YR_RT"
"4905","Unitech Training Academy-West Monroe","West Monroe","LA","71291","32.506463","-92.129419",1,3,"NULL","0","NULL","16136","7432","6","1","NULL","NULL","NULL","NULL","NULL","20510","97","0.0825","0.9175","0.2577","0.6392","0","0.0206","0.8616197183","0.0753521127","0.0299295775","0.0179577465","0.0151408451","0.8143","9002","7331","7125","6333","17200","18100","19800","NULL","20900","16600","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.214","0.4608472401","0.395465995","0.3409906676","0.3191153239"
"4906","New River Community and Technical College","Beaver","WV","25813-8987","37.76767","-81.136085",2,1,"NULL","0","5146","2359","5208","NULL","1","NULL","4286","6900","11091","8160","NULL","845","0.3396","0.6604","0.8769","0.0793","0.0059","0","0.6217133164","0.1620016964","0.1170483461","0.0687022901","0.0305343511","0.2987","6500","4369","5500","5492","23700","NULL","27300","NULL","PrivacySuppressed","20500","27400","31700","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.156","0.2411128284","0.2840148699","0.2635501355","0.3317591499"
"4907","The College of Health Care Professions-Southwest Houston","Houston","TX","77074","29.701897","-95.517146",1,3,"NULL","0","4493","4834","2270","6","1","NULL","NULL","NULL","NULL","NULL","24278","600","0.1117","0.8883","0.045","0.265","0.025","0.5683","0.6855969067","0.1558724021","0.0981150314","0.0410826486","0.0193330111","0.7559","9500","9500","9500","9500","26000","27900","28800","29200","30500","23500","31000","32600","28200","PrivacySuppressed","PrivacySuppressed","0.107","0.288115942","0.3218982276","0.3531701891","0.3585760518"
"4908","United Education Institute-Chula Vista","Chula Vista","CA","91910-3953","32.640752","-117.080082",1,3,"NULL","0","NULL","9025","2694","7","1","NULL","NULL","NULL","NULL","NULL","27410","647","0.5039","0.4961","0.051","0.0881","0.0464","0.5734","0.8159141931","0.1061361936","0.0517585433","0.0184584684","0.0077326016","0.8379","9500","9500","9500","5500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.116","NULL","0.2426105153","0.2504335761","0.2663472097"
"4909","United Education Institute-West Covina","West Covina","CA","91731-2806","34.075984","-117.90946",1,3,"NULL","0","NULL","10281","2910","9","1","NULL","NULL","NULL","NULL","NULL","25517","606","0.4439","0.5561","0.033","0.0165","0.0231","0.6122","0.8159141931","0.1061361936","0.0517585433","0.0184584684","0.0077326016","0.9398","9500","9500","9500","5500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.116","NULL","0.2426105153","0.2504335761","0.2663472097"
"4910","Georgia Gwinnett College","Lawrenceville","GA","30043","33.979409","-84.00459",3,1,"NULL","0","6951","3462","6558","NULL","1","NULL","5634","16348","17760","12475","NULL","11676","0.4342","0.5658","0.2877","0.3289","0.1008","0.2067","0.5147102526","0.1943536404","0.1395245171","0.0845468053","0.0668647845","0.373","19750","9042","8250","8114","34500","NULL","PrivacySuppressed","NULL","PrivacySuppressed","34500","34300","34900","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.134","0.2807424594","0.317294841","0.3836126629","0.4782608696"
"4911","Phoenix Institute of Herbal Medicine & Acupuncture","Phoenix","AZ","85012","33.52289","-112.068783",4,3,"NULL","0","3333","8871","2559","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.048","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4912","Tucson College of Beauty","Tucson","AZ","85705","32.278944","-110.996047",1,3,"NULL","0","NULL","7572","4040","4","1","NULL","NULL","NULL","NULL","NULL","10828","75","0.0533","0.9467","0.1733","0.0267","0","0.2933","0.8095238095","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.6977","6365","6365","PrivacySuppressed","PrivacySuppressed","22000","NULL","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.093","0.306122449","0.3608247423","0.3969465649","0.5578947368"
"4913","California Career College","Canoga Park","CA","91303-2006","34.197566","-118.601794",0,3,"NULL","0","6667","14869","9951","2","1","NULL","NULL","NULL","NULL","NULL","27446","147","0.2245","0.7755","0.3605","0","0.2041","0.4354","0.4022988506","0.1724137931","0.2413793103","PrivacySuppressed","PrivacySuppressed","0.6667","PrivacySuppressed","17667","PrivacySuppressed","PrivacySuppressed","43100","NULL","55200","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.05","0.4857142857","0.5733333333","0.6605504587","0.7032967033"
"4914","Palladium Technical Academy Inc","Temple City","CA","91780","34.091838","-118.04358",1,3,"NULL","0","NULL","13519","1690","4","1","NULL","NULL","NULL","NULL","NULL","15106","33","0.2424","0.7576","0","0","0.0909","0.9091","0.7865168539","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","1","6070","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","21000","NULL","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.088","0.3","0.3099415205","0.3085106383","0.2713178295"
